Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D_0,D,D_SOD-123,50.858800,-137.264700,90.000000,bottom
D_1,D,D_SOD-123,64.418800,-138.151700,90.000000,bottom
D_2,D,D_SOD-123,84.018800,-138.151700,90.000000,bottom
D_3,D,D_SOD-123,103.218800,-138.151700,90.000000,bottom
D_4,D,D_SOD-123,121.618800,-138.151700,90.000000,bottom
D_5,D,D_SOD-123,140.018800,-138.151700,90.000000,bottom
D_6,D,D_SOD-123,159.618800,-138.151700,90.000000,bottom
D_7,D,D_SOD-123,178.818800,-138.201700,90.000000,bottom
D_8,D,D_SOD-123,197.818800,-138.151700,90.000000,bottom
D_9,D,D_SOD-123,216.618800,-138.151700,90.000000,bottom
D_10,D,D_SOD-123,236.018800,-138.151700,90.000000,bottom
D_11,D,D_SOD-123,255.818800,-137.951700,90.000000,bottom
D_12,D,D_SOD-123,272.618800,-138.001700,90.000000,bottom
D_13,D,D_SOD-123,291.018800,-137.951700,90.000000,bottom
D_14,D,D_SOD-123,310.618800,-137.951700,90.000000,bottom
D_15,D,D_SOD-123,314.175800,-136.178700,90.000000,bottom
D_16,D,D_SOD-123,50.843800,-159.651700,90.000000,bottom
D_17,D,D_SOD-123,69.893800,-159.651700,90.000000,bottom
D_18,D,D_SOD-123,88.943800,-159.651700,90.000000,bottom
D_19,D,D_SOD-123,107.993800,-159.651700,90.000000,bottom
D_20,D,D_SOD-123,127.043800,-159.651700,90.000000,bottom
D_21,D,D_SOD-123,146.093800,-159.651700,90.000000,bottom
D_22,D,D_SOD-123,165.143800,-159.651700,90.000000,bottom
D_23,D,D_SOD-123,184.193800,-159.651700,90.000000,bottom
D_24,D,D_SOD-123,203.243800,-159.651700,90.000000,bottom
D_25,D,D_SOD-123,222.293800,-159.651700,90.000000,bottom
D_26,D,D_SOD-123,241.343800,-159.651700,90.000000,bottom
D_27,D,D_SOD-123,260.393800,-159.651700,90.000000,bottom
D_28,D,D_SOD-123,279.443800,-159.651700,90.000000,bottom
D_29,D,D_SOD-123,302.618800,-159.651700,90.000000,bottom
D_30,D,D_SOD-123,336.593800,-159.651700,90.000000,bottom
D_31,D,D_SOD-123,355.643800,-159.651700,90.000000,bottom
D_32,D,D_SOD-123,358.018800,-159.651700,90.000000,bottom
D_33,D,D_SOD-123,55.605000,-178.651700,90.000000,bottom
D_34,D,D_SOD-123,79.368800,-178.651700,90.000000,bottom
D_35,D,D_SOD-123,98.418800,-178.651700,90.000000,bottom
D_36,D,D_SOD-123,117.468800,-178.651700,90.000000,bottom
D_37,D,D_SOD-123,136.518800,-178.651700,90.000000,bottom
D_38,D,D_SOD-123,155.568800,-178.651700,90.000000,bottom
D_39,D,D_SOD-123,174.618800,-178.651700,90.000000,bottom
D_40,D,D_SOD-123,193.668800,-178.651700,90.000000,bottom
D_41,D,D_SOD-123,212.718800,-178.651700,90.000000,bottom
D_42,D,D_SOD-123,231.768800,-178.651700,90.000000,bottom
D_43,D,D_SOD-123,250.818800,-178.651700,90.000000,bottom
D_44,D,D_SOD-123,269.868800,-178.651700,90.000000,bottom
D_45,D,D_SOD-123,288.918800,-178.651700,90.000000,bottom
D_46,D,D_SOD-123,314.593800,-180.851700,90.000000,bottom
D_47,D,D_SOD-123,336.543800,-178.651700,90.000000,bottom
D_48,D,D_SOD-123,355.593800,-178.651700,90.000000,bottom
D_49,D,D_SOD-123,357.993800,-178.651700,90.000000,bottom
D_50,D,D_SOD-123,58.029000,-197.801700,90.000000,bottom
D_51,D,D_SOD-123,84.269300,-197.801700,90.000000,bottom
D_52,D,D_SOD-123,103.319300,-197.801700,90.000000,bottom
D_53,D,D_SOD-123,122.369300,-197.801700,90.000000,bottom
D_54,D,D_SOD-123,141.419300,-197.801700,90.000000,bottom
D_55,D,D_SOD-123,160.469300,-197.801700,90.000000,bottom
D_56,D,D_SOD-123,179.519300,-197.801700,90.000000,bottom
D_57,D,D_SOD-123,198.569300,-197.801700,90.000000,bottom
D_58,D,D_SOD-123,217.619300,-197.801700,90.000000,bottom
D_59,D,D_SOD-123,236.669300,-197.801700,90.000000,bottom
D_60,D,D_SOD-123,255.719300,-197.801700,90.000000,bottom
D_61,D,D_SOD-123,274.769300,-197.801700,90.000000,bottom
D_62,D,D_SOD-123,293.819300,-197.801700,90.000000,bottom
D_63,D,D_SOD-123,55.781300,-205.601700,270.000000,bottom
D_64,D,D_SOD-123,74.831300,-205.601700,270.000000,bottom
D_65,D,D_SOD-123,93.881300,-205.601700,270.000000,bottom
D_66,D,D_SOD-123,112.918800,-205.601700,270.000000,bottom
D_67,D,D_SOD-123,132.018800,-205.601700,270.000000,bottom
D_68,D,D_SOD-123,151.018800,-205.601700,270.000000,bottom
D_69,D,D_SOD-123,170.081300,-205.601700,270.000000,bottom
D_70,D,D_SOD-123,189.131300,-205.601700,270.000000,bottom
D_71,D,D_SOD-123,208.218800,-205.601700,270.000000,bottom
D_72,D,D_SOD-123,227.231300,-205.601700,270.000000,bottom
D_73,D,D_SOD-123,246.281300,-205.601700,270.000000,bottom
D_74,D,D_SOD-123,265.331300,-205.601700,270.000000,bottom
D_75,D,D_SOD-123,297.498800,-216.021700,90.000000,bottom
D_76,D,D_SOD-123,355.818800,-216.801700,90.000000,bottom
D_77,D,D_SOD-123,55.656300,-234.301700,90.000000,bottom
